order_item_id,order_id,product_id,quantity,unit_price_at_sale
OI00001,O00588,P034,1,271.08
OI00002,O00588,P037,3,193.81
OI00003,O00588,P049,4,34.75
OI00004,O00588,P046,1,23.84
OI00005,O00968,P021,4,443.61
OI00006,O00968,P005,3,267.21
OI00007,O02320,P057,1,91.24
OI00008,O02320,P053,1,123.07
OI00009,O02320,P025,2,349.98
OI00010,O02918,P052,5,155.23
OI00011,O02918,P029,2,384.93
OI00012,O03129,P058,1,114.8
OI00013,O03300,P018,3,252.47
OI00014,O03300,P010,4,383.82
OI00015,O03407,P009,5,384.59
OI00016,O03407,P038,5,133.77
OI00017,O03407,P030,2,268.92
OI00018,O04135,P042,5,358.05
OI00019,O04135,P015,5,441.96
OI00020,O04135,P016,5,407.27
OI00021,O04423,P016,4,407.27
OI00022,O04423,P008,1,157.6
OI00023,O04423,P013,1,417.94
OI00024,O04985,P050,3,182.2
OI00025,O05782,P043,4,447.66
OI00026,O03128,P005,3,267.21
OI00027,O03128,P016,1,407.27
OI00028,O03916,P004,1,27.73
OI00029,O04575,P006,1,380.87
OI00030,O04575,P029,4,384.93
OI00031,O05399,P054,2,310.0
OI00032,O05399,P036,5,15.81
OI00033,O00426,P010,3,383.82
OI00034,O00426,P037,4,193.81
OI00035,O00426,P042,3,358.05
OI00036,O00512,P048,1,146.16
OI00037,O00512,P004,5,27.73
OI00038,O00512,P022,2,358.81
OI00039,O02323,P025,2,349.98
OI00040,O02323,P036,3,15.81
OI00041,O02323,P054,2,310.0
OI00042,O02356,P052,5,155.23
OI00043,O02356,P042,5,358.05
OI00044,O02572,P023,1,416.72
OI00045,O02572,P050,5,182.2
OI00046,O02657,P014,1,11.23
OI00047,O02756,P032,4,364.88
OI00048,O04721,P003,2,215.44
OI00049,O04721,P047,2,116.76
OI00050,O04721,P020,4,62.75
OI00051,O04721,P007,4,345.2
OI00052,O05460,P059,3,10.1
OI00053,O00277,P055,1,29.47
OI00054,O00277,P005,2,267.21
OI00055,O00277,P046,1,23.84
OI00056,O00277,P026,4,29.64
OI00057,O00779,P015,2,441.96
OI00058,O00779,P046,5,23.84
OI00059,O00779,P055,1,29.47
OI00060,O01030,P060,2,349.64
OI00061,O01030,P046,4,23.84
OI00062,O01030,P034,5,271.08
OI00063,O03450,P009,4,384.59
OI00064,O03450,P016,1,407.27
OI00065,O03450,P007,2,345.2
OI00066,O03450,P033,2,68.48
OI00067,O03679,P013,4,417.94
OI00068,O03679,P024,3,29.52
OI00069,O03679,P056,2,28.94
OI00070,O03873,P048,5,146.16
OI00071,O03873,P024,1,29.52
OI00072,O04716,P052,1,155.23
OI00073,O04716,P042,3,358.05
OI00074,O04716,P023,1,416.72
OI00075,O04716,P003,1,215.44
OI00076,O05602,P021,1,443.61
OI00077,O05602,P031,1,90.92
OI00078,O05602,P028,4,185.4
OI00079,O05714,P035,3,67.39
OI00080,O00141,P048,1,146.16
OI00081,O00141,P054,5,310.0
OI00082,O00141,P045,3,296.59
OI00083,O00141,P033,4,68.48
OI00084,O00555,P009,2,384.59
OI00085,O00694,P001,3,378.87
OI00086,O00694,P007,5,345.2
OI00087,O00694,P012,4,86.46
OI00088,O01239,P008,3,157.6
OI00089,O01239,P026,1,29.64
OI00090,O01239,P021,1,443.61
OI00091,O01356,P058,5,114.8
OI00092,O01356,P029,2,384.93
OI00093,O01356,P001,5,378.87
OI00094,O02821,P031,5,90.92
OI00095,O03802,P033,4,68.48
OI00096,O03802,P020,5,62.75
OI00097,O05704,P054,3,310.0
OI00098,O05704,P046,4,23.84
OI00099,O05916,P024,4,29.52
OI00100,O05916,P038,5,133.77
OI00101,O05916,P027,4,9.99
OI00102,O02311,P056,4,28.94
OI00103,O02311,P007,4,345.2
OI00104,O02486,P049,1,34.75
OI00105,O02486,P034,1,271.08
OI00106,O02486,P033,4,68.48
OI00107,O02486,P002,3,181.52
OI00108,O03653,P039,3,409.81
OI00109,O03653,P035,4,67.39
OI00110,O03653,P012,4,86.46
OI00111,O04545,P019,5,135.4
OI00112,O04787,P013,3,417.94
OI00113,O04787,P023,5,416.72
OI00114,O04787,P014,3,11.23
OI00115,O04787,P028,3,185.4
OI00116,O00042,P051,1,389.34
OI00117,O00148,P035,5,67.39
OI00118,O01005,P045,5,296.59
OI00119,O01005,P023,1,416.72
OI00120,O01005,P060,5,349.64
OI00121,O01069,P015,3,441.96
OI00122,O01069,P026,2,29.64
OI00123,O01069,P037,4,193.81
OI00124,O02555,P018,3,252.47
OI00125,O02555,P020,3,62.75
OI00126,O02555,P033,2,68.48
OI00127,O02795,P035,2,67.39
OI00128,O02795,P003,5,215.44
OI00129,O02795,P026,3,29.64
OI00130,O03860,P046,4,23.84
OI00131,O03860,P010,1,383.82
OI00132,O00374,P042,5,358.05
OI00133,O01846,P006,5,380.87
OI00134,O01846,P032,2,364.88
OI00135,O01846,P020,3,62.75
OI00136,O02230,P026,2,29.64
OI00137,O02230,P009,2,384.59
OI00138,O02230,P029,3,384.93
OI00139,O02426,P042,5,358.05
OI00140,O02426,P051,5,389.34
OI00141,O02494,P058,5,114.8
OI00142,O02494,P030,1,268.92
OI00143,O02811,P010,3,383.82
OI00144,O02811,P019,4,135.4
OI00145,O02811,P045,5,296.59
OI00146,O02811,P054,1,310.0
OI00147,O03471,P035,2,67.39
OI00148,O03471,P045,1,296.59
OI00149,O03810,P044,1,356.11
OI00150,O04197,P050,3,182.2
OI00151,O04197,P023,3,416.72
OI00152,O04578,P051,5,389.34
OI00153,O04578,P027,4,9.99
OI00154,O05210,P033,3,68.48
OI00155,O05511,P043,1,447.66
OI00156,O05903,P004,5,27.73
