order_id,order_date,customer_id,channel,status
O00588,2024-01-01,C0079,web,completed
O00968,2024-01-01,C0031,web,completed
O02320,2024-01-01,C0080,web,completed
O02918,2024-01-01,C0116,phone,completed
O03129,2024-01-01,C0020,phone,completed
O03300,2024-01-01,C0136,web,completed
O03407,2024-01-01,C0098,phone,completed
O04135,2024-01-01,C0030,web,completed
O04423,2024-01-01,C0179,phone,completed
O04985,2024-01-01,C0031,store,completed
O05782,2024-01-01,C0040,web,completed
O03128,2024-01-02,C0101,web,completed
O03916,2024-01-02,C0028,store,completed
O04575,2024-01-02,C0088,store,completed
O05399,2024-01-02,C0177,web,completed
O00426,2024-01-03,C0087,phone,completed
O00512,2024-01-03,C0033,web,completed
O02323,2024-01-03,C0098,web,completed
O02356,2024-01-03,C0050,web,completed
O02572,2024-01-03,C0160,web,completed
O02657,2024-01-03,C0141,web,completed
O02756,2024-01-03,C0012,web,completed
O04721,2024-01-03,C0102,phone,completed
O05460,2024-01-03,C0166,phone,completed
O00277,2024-01-04,C0078,web,completed
O00779,2024-01-04,C0082,web,completed
O01030,2024-01-04,C0047,web,completed
O03450,2024-01-04,C0041,web,completed
O03679,2024-01-04,C0088,store,completed
O03873,2024-01-04,C0041,web,completed
O04716,2024-01-04,C0121,web,completed
O05602,2024-01-04,C0061,web,pending
O05714,2024-01-04,C0063,web,cancelled
O00141,2024-01-05,C0102,web,completed
O00555,2024-01-05,C0037,web,completed
O00694,2024-01-05,C0083,web,completed
O01239,2024-01-05,C0049,web,completed
O01356,2024-01-05,C0055,web,completed
O02821,2024-01-05,C0054,web,completed
O03802,2024-01-05,C0114,web,completed
O05704,2024-01-05,C0068,web,completed
O05916,2024-01-05,C0073,web,completed
O02311,2024-01-06,C0079,store,completed
O02486,2024-01-06,C0020,phone,completed
O03653,2024-01-06,C0149,store,completed
O04545,2024-01-06,C0017,store,completed
O04787,2024-01-06,C0136,web,completed
O00042,2024-01-07,C0087,phone,completed
O00148,2024-01-07,C0039,store,completed
O01005,2024-01-07,C0005,web,completed
O01069,2024-01-07,C0067,web,completed
O02555,2024-01-07,C0058,web,completed
O02795,2024-01-07,C0123,web,completed
O03860,2024-01-07,C0043,phone,pending
O00374,2024-01-08,C0010,web,completed
O01846,2024-01-08,C0092,web,completed
O02230,2024-01-08,C0033,store,completed
O02426,2024-01-08,C0106,web,completed
O02494,2024-01-08,C0103,web,completed
O02811,2024-01-08,C0171,web,completed
O03471,2024-01-08,C0074,web,completed
O03810,2024-01-08,C0059,web,completed
O04197,2024-01-08,C0122,web,completed
O04578,2024-01-08,C0175,web,completed
O05210,2024-01-08,C0070,store,completed
O05511,2024-01-08,C0128,web,completed
O05903,2024-01-08,C0158,web,completed
O00473,2024-01-09,C0013,web,completed
O00766,2024-01-09,C0164,web,completed
O02390,2024-01-09,C0075,web,completed
O02524,2024-01-09,C0010,phone,completed
O02778,2024-01-09,C0066,web,completed
O03787,2024-01-09,C0149,store,completed
O05055,2024-01-09,C0046,store,completed
O05474,2024-01-09,C0164,store,completed
O01274,2024-01-10,C0072,web,cancelled
O01734,2024-01-10,C0120,web,completed
O01917,2024-01-10,C0093,web,completed
O02573,2024-01-10,C0029,phone,completed
O02624,2024-01-10,C0117,web,cancelled
O03024,2024-01-10,C0007,web,completed
O05203,2024-01-10,C0037,web,completed
O05370,2024-01-10,C0162,web,completed
O05750,2024-01-10,C0032,web,completed
O05802,2024-01-10,C0150,web,completed
O00258,2024-01-11,C0079,web,completed
O00989,2024-01-11,C0017,store,completed
O01934,2024-01-11,C0173,store,completed
O02856,2024-01-11,C0104,web,completed
O02950,2024-01-11,C0065,phone,completed
O03635,2024-01-11,C0157,phone,completed
O04389,2024-01-11,C0011,store,completed
O05534,2024-01-11,C0088,phone,completed
O00930,2024-01-12,C0087,store,completed
O01159,2024-01-12,C0153,web,completed
O02239,2024-01-12,C0162,store,completed
O02548,2024-01-12,C0152,store,cancelled
O03209,2024-01-12,C0038,web,completed
O03954,2024-01-12,C0089,web,completed
O03970,2024-01-12,C0054,web,completed
O04738,2024-01-12,C0027,web,completed
O05394,2024-01-12,C0032,phone,completed
O05530,2024-01-12,C0004,web,completed
O00325,2024-01-13,C0160,store,completed
O01332,2024-01-13,C0081,web,completed
O01438,2024-01-13,C0137,web,completed
O01467,2024-01-13,C0091,web,completed
O02276,2024-01-13,C0178,store,completed
O02912,2024-01-13,C0146,web,cancelled
O03695,2024-01-13,C0151,store,completed
O04972,2024-01-13,C0142,store,completed
O05996,2024-01-13,C0095,web,completed
O00427,2024-01-14,C0024,web,cancelled
O01188,2024-01-14,C0023,web,completed
O01560,2024-01-14,C0117,web,completed
O02377,2024-01-14,C0092,web,pending
O03057,2024-01-14,C0114,web,completed
O01253,2024-01-15,C0120,store,completed
O02053,2024-01-15,C0163,web,completed
O02088,2024-01-15,C0036,web,completed
O00580,2024-01-16,C0041,web,completed
O01803,2024-01-16,C0130,web,completed
O02009,2024-01-16,C0160,store,completed
O02129,2024-01-16,C0168,web,completed
O02272,2024-01-16,C0147,web,completed
O02338,2024-01-16,C0091,web,completed
O02959,2024-01-16,C0155,store,completed
O02995,2024-01-16,C0133,web,completed
O03073,2024-01-16,C0056,web,completed
O04703,2024-01-16,C0102,store,completed
O05278,2024-01-16,C0062,web,completed
O00375,2024-01-17,C0153,web,completed
O01801,2024-01-17,C0007,web,completed
O02235,2024-01-17,C0100,store,completed
O02563,2024-01-17,C0071,web,completed
O03162,2024-01-17,C0044,web,completed
O03868,2024-01-17,C0076,store,completed
O04187,2024-01-17,C0127,web,completed
O04405,2024-01-17,C0101,web,completed
O00038,2024-01-18,C0172,web,completed
O01240,2024-01-18,C0089,store,completed
O01303,2024-01-18,C0052,web,completed
O01551,2024-01-18,C0065,web,completed
O02852,2024-01-18,C0111,store,completed
O03043,2024-01-18,C0099,store,completed
O03343,2024-01-18,C0053,web,completed
O03628,2024-01-18,C0076,web,completed
O04168,2024-01-18,C0001,phone,completed
O04884,2024-01-18,C0143,store,completed
O05641,2024-01-18,C0140,phone,completed
O00407,2024-01-19,C0153,web,completed
O01446,2024-01-19,C0167,web,completed
O02014,2024-01-19,C0175,store,cancelled
O02026,2024-01-19,C0061,web,completed
O02119,2024-01-19,C0056,store,completed
O02180,2024-01-19,C0175,web,completed
O03019,2024-01-19,C0153,web,completed
O03197,2024-01-19,C0090,phone,completed
O04096,2024-01-19,C0001,store,completed
O05104,2024-01-19,C0053,web,pending
O00129,2024-01-20,C0027,store,completed
O00515,2024-01-20,C0073,web,completed
O02313,2024-01-20,C0098,store,completed
O02809,2024-01-20,C0006,store,completed
O04041,2024-01-20,C0044,store,completed
O04136,2024-01-20,C0049,web,completed
O04342,2024-01-20,C0101,web,completed
O01164,2024-01-21,C0137,phone,completed
O02431,2024-01-21,C0077,web,completed
O02489,2024-01-21,C0170,web,completed
O04167,2024-01-21,C0056,web,completed
O05546,2024-01-21,C0079,web,completed
O05900,2024-01-21,C0103,store,completed
O00892,2024-01-22,C0007,phone,completed
O01325,2024-01-22,C0066,web,cancelled
O01346,2024-01-22,C0003,web,completed
O02125,2024-01-22,C0180,web,completed
O02750,2024-01-22,C0149,web,completed
O02785,2024-01-22,C0076,web,completed
O03190,2024-01-22,C0102,web,completed
O03658,2024-01-22,C0021,web,completed
O04558,2024-01-22,C0165,web,completed
O04936,2024-01-22,C0113,web,completed
O00496,2024-01-23,C0023,store,completed
O01528,2024-01-23,C0014,web,completed
O01569,2024-01-23,C0160,phone,completed
O02187,2024-01-23,C0024,phone,completed
O02244,2024-01-23,C0106,web,completed
O03618,2024-01-23,C0093,web,completed
O03648,2024-01-23,C0099,web,completed
O05042,2024-01-23,C0171,store,completed
O00118,2024-01-24,C0093,web,completed
O02309,2024-01-24,C0077,web,completed
O02488,2024-01-24,C0173,phone,completed
O02788,2024-01-24,C0170,web,completed
O03619,2024-01-24,C0088,web,completed
O04092,2024-01-24,C0069,web,completed
O05536,2024-01-24,C0009,store,completed
O00652,2024-01-25,C0061,web,completed
O00815,2024-01-25,C0137,store,completed
O02392,2024-01-25,C0011,store,completed
O03668,2024-01-25,C0096,web,completed
O04004,2024-01-25,C0049,store,completed
O04222,2024-01-25,C0151,web,completed
O04670,2024-01-25,C0160,web,completed
O05096,2024-01-25,C0171,web,completed
O05105,2024-01-25,C0032,web,cancelled
O00408,2024-01-26,C0081,phone,completed
O00658,2024-01-26,C0131,store,completed
O00835,2024-01-26,C0050,web,completed
O01272,2024-01-26,C0037,web,pending
O01844,2024-01-26,C0128,web,completed
O02106,2024-01-26,C0048,web,completed
O02275,2024-01-26,C0093,web,completed
O02561,2024-01-26,C0166,store,completed
O02610,2024-01-26,C0135,web,completed
O02633,2024-01-26,C0140,store,completed
O03305,2024-01-26,C0013,web,completed
O04432,2024-01-26,C0103,web,completed
O04812,2024-01-26,C0122,web,completed
O05113,2024-01-26,C0037,phone,cancelled
O05128,2024-01-26,C0045,web,completed
O05159,2024-01-26,C0032,web,completed
O00059,2024-01-27,C0170,store,completed
O00565,2024-01-27,C0131,web,completed
O01299,2024-01-27,C0119,web,completed
O02442,2024-01-27,C0131,store,completed
O04348,2024-01-27,C0164,web,completed
O04978,2024-01-27,C0075,web,completed
O05622,2024-01-27,C0160,web,completed
O00569,2024-01-28,C0147,web,completed
O00837,2024-01-28,C0017,web,completed
O00891,2024-01-28,C0125,web,completed
O01040,2024-01-28,C0073,web,completed
O01784,2024-01-28,C0021,web,completed
O02136,2024-01-28,C0073,web,completed
O02583,2024-01-28,C0148,store,completed
O02627,2024-01-28,C0102,web,completed
O02869,2024-01-28,C0087,web,completed
O03187,2024-01-28,C0056,store,completed
O03391,2024-01-28,C0070,phone,completed
O04090,2024-01-28,C0110,phone,completed
