order_id,order_date,customer_id,channel,status,order_timestamp_utc
O00588,2024-01-01,C0079,web,completed,2024-01-01T20:39:26Z
O00968,2024-01-01,C0031,web,completed,2024-01-01T21:05:41Z
O02320,2024-01-01,C0080,web,completed,2024-01-01T08:31:58Z
O02918,2024-01-01,C0116,phone,completed,2024-01-01T14:43:47Z
O03129,2024-01-01,C0020,phone,completed,2024-01-01T10:50:27Z
O03300,2024-01-01,C0136,web,completed,2024-01-01T14:10:55Z
O03407,2024-01-01,C0098,phone,completed,2024-01-01T14:24:49Z
O04135,2024-01-01,C0030,web,completed,2024-01-01T15:27:13Z
O04423,2024-01-01,C0179,phone,completed,2024-01-01T13:53:03Z
O04985,2024-01-01,C0031,store,completed,2024-01-01T17:16:37Z
O05782,2024-01-01,C0040,web,completed,2024-01-01T20:42:21Z
O03128,2024-01-02,C0101,web,completed,2024-01-02T23:26:53Z
O03916,2024-01-02,C0028,store,completed,2024-01-02T16:45:11Z
O04575,2024-01-02,C0088,store,completed,2024-01-02T13:29:02Z
O05399,2024-01-02,C0177,web,completed,2024-01-02T09:44:40Z
O00426,2024-01-03,C0087,phone,completed,2024-01-03T14:21:58Z
O00512,2024-01-03,C0033,web,completed,2024-01-03T13:54:22Z
O02323,2024-01-03,C0098,web,completed,2024-01-03T16:47:11Z
O02356,2024-01-03,C0050,web,completed,2024-01-03T09:41:28Z
O02572,2024-01-03,C0160,web,completed,2024-01-03T11:33:40Z
O02657,2024-01-03,C0141,web,completed,2024-01-03T15:09:49Z
O02756,2024-01-03,C0012,web,completed,2024-01-03T19:05:18Z
O04721,2024-01-03,C0102,phone,completed,2024-01-03T15:26:48Z
O05460,2024-01-03,C0166,phone,completed,2024-01-03T12:53:17Z
O00277,2024-01-04,C0078,web,completed,2024-01-04T19:38:08Z
O00779,2024-01-04,C0082,web,completed,2024-01-04T11:48:00Z
O01030,2024-01-04,C0047,web,completed,2024-01-04T20:46:39Z
O03450,2024-01-04,C0041,web,completed,2024-01-04T19:16:46Z
O03679,2024-01-04,C0088,store,completed,2024-01-04T13:30:34Z
O03873,2024-01-04,C0041,web,completed,2024-01-04T09:14:06Z
O04716,2024-01-04,C0121,web,completed,2024-01-04T19:39:28Z
O05602,2024-01-04,C0061,web,pending,2024-01-04T18:04:45Z
O05714,2024-01-04,C0063,web,cancelled,2024-01-04T18:33:33Z
O00141,2024-01-05,C0102,web,completed,2024-01-05T17:47:18Z
O00555,2024-01-05,C0037,web,completed,2024-01-05T04:20:26Z
O00694,2024-01-05,C0083,web,completed,2024-01-05T11:16:24Z
O01239,2024-01-05,C0049,web,completed,2024-01-05T21:02:14Z
O01356,2024-01-05,C0055,web,completed,2024-01-05T06:51:16Z
O02821,2024-01-05,C0054,web,completed,2024-01-05T12:26:39Z
O03802,2024-01-05,C0114,web,completed,2024-01-05T17:30:47Z
O05704,2024-01-05,C0068,web,completed,2024-01-05T19:24:24Z
O05916,2024-01-05,C0073,web,completed,2024-01-05T20:19:10Z
O02311,2024-01-06,C0079,store,completed,2024-01-06T09:06:05Z
