order_id,order_date,customer_id,channel,status,order_timestamp_utc
O00588,2024-01-01,C0079,web,completed,01/01/2024 08:39 PM
O00968,2024-01-01,C0031,web,completed,2024-01-01T21:05:41+00:00
O02320,2024-01-01,C0080,web,completed,2024-01-01T08:31
O02918,2024-01-01,C0116,phone,completed,01/01/2024 02:43 PM
O03129,2024-01-01,C0020,phone,completed,2024-01-01T10:50:27Z
O03300,2024-01-01,C0136,web,completed,2024-01-01T14:10
O03407,2024-01-01,C0098,phone,completed,01/01/2024 02:24 PM
O04135,2024-01-01,C0030,web,completed,01/01/2024 03:27 PM
O04423,2024-01-01,C0179,phone,completed,2024-01-01T13:53:03Z
O04985,2024-01-01,C0031,store,completed,2024-01-01T17:16:37+00:00
O05782,2024-01-01,C0040,web,completed,2024-01-01T20:42:21+00:00
O03128,2024-01-02,C0101,web,completed,2024-01-02T23:26
O03916,2024-01-02,C0028,store,completed,01/02/2024 04:45 PM
O04575,2024-01-02,C0088,store,completed,01/02/2024 01:29 PM
O05399,2024-01-02,C0177,web,completed,2024-01-02T09:44:40+00:00
O00426,2024-01-03,C0087,phone,completed,2024-01-03T14:21:58Z
O00512,2024-01-03,C0033,web,completed,2024-01-03T13:54:22+00:00
O02323,2024-01-03,C0098,web,completed,2024-01-03T16:47:11Z
O02356,2024-01-03,C0050,web,completed,01/03/2024 09:41 AM
O02572,2024-01-03,C0160,web,completed,01/03/2024 11:33 AM
O02657,2024-01-03,C0141,web,completed,01/03/2024 03:09 PM
O02756,2024-01-03,C0012,web,completed,2024-01-03T19:05:18+00:00
O04721,2024-01-03,C0102,phone,completed,2024-01-03T15:26
O05460,2024-01-03,C0166,phone,completed,2024-01-03T12:53
O00277,2024-01-04,C0078,web,completed,01/04/2024 07:38 PM
O00779,2024-01-04,C0082,web,completed,2024-01-04T11:48:00Z
O01030,2024-01-04,C0047,web,completed,2024-01-04T20:46:39+00:00
O03450,2024-01-04,C0041,web,completed,2024-01-04T19:16:46Z
O03679,2024-01-04,C0088,store,completed,2024-01-04T13:30:34Z
O03873,2024-01-04,C0041,web,completed,01/04/2024 09:14 AM
O04716,2024-01-04,C0121,web,completed,01/04/2024 07:39 PM
O05602,2024-01-04,C0061,web,pending,2024-01-04T18:04
O05714,2024-01-04,C0063,web,cancelled,2024-01-04T18:33:33Z
O00141,2024-01-05,C0102,web,completed,2024-01-05T17:47:18+00:00
O00555,2024-01-05,C0037,web,completed,2024-01-05T04:20:26+00:00
O00694,2024-01-05,C0083,web,completed,2024-01-05T11:16:24Z
O01239,2024-01-05,C0049,web,completed,2024-01-05T21:02:14Z
O01356,2024-01-05,C0055,web,completed,2024-01-05T06:51:16+00:00
O02821,2024-01-05,C0054,web,completed,2024-01-05T12:26:39Z
O03802,2024-01-05,C0114,web,completed,01/05/2024 05:30 PM
O05704,2024-01-05,C0068,web,completed,2024-01-05T19:24:24+00:00
O05916,2024-01-05,C0073,web,completed,01/05/2024 08:19 PM
O02311,2024-01-06,C0079,store,completed,01/06/2024 09:06 AM
O02486,2024-01-06,C0020,phone,completed,2024-01-06T14:41:27Z
O03653,2024-01-06,C0149,store,completed,01/06/2024 11:54 AM
O04545,2024-01-06,C0017,store,completed,01/06/2024 10:29 AM
O04787,2024-01-06,C0136,web,completed,2024-01-06T16:09:22+00:00
O00042,2024-01-07,C0087,phone,completed,2024-01-07T11:41:37Z
O00148,2024-01-07,C0039,store,completed,01/07/2024 12:57 PM
O01005,2024-01-07,C0005,web,completed,2024-01-07T09:20:57Z
O01069,2024-01-07,C0067,web,completed,2024-01-07T22:29:41Z
O02555,2024-01-07,C0058,web,completed,2024-01-07T12:45:58Z
O02795,2024-01-07,C0123,web,completed,01/07/2024 08:15 PM
O03860,2024-01-07,C0043,phone,pending,01/07/2024 12:44 PM
O00374,2024-01-08,C0010,web,completed,01/08/2024 08:26 AM
O01846,2024-01-08,C0092,web,completed,01/08/2024 04:42 PM
O02230,2024-01-08,C0033,store,completed,2024-01-08T12:48:34+00:00
O02426,2024-01-08,C0106,web,completed,2024-01-08T10:27:51+00:00
O02494,2024-01-08,C0103,web,completed,2024-01-08T20:29:43Z
