promo_code,category,product_id,discount_pct,start_date,end_date
PROMO01,Bedding,,23,2025-02-16,2025-03-08
PROMO02,Kitchen,,24,2024-05-05,2024-05-27
PROMO03,Furniture,,25,2024-07-27,2024-08-22
PROMO04,Kitchen,,23,2025-05-08,2025-05-28
PROMO05,Bath,,21,2025-12-03,2025-12-17
PROMO06,Bedding,,22,2024-12-16,2024-12-31
PROMO07,Bedding,,16,2025-03-19,2025-04-12
PROMO08,Bedding,,25,2024-07-17,2024-08-04
PROMO09,Storage,,27,2024-05-06,2024-06-01
PROMO10,Storage,,29,2025-10-28,2025-11-14
PROMO11,Kitchen,,21,2024-05-30,2024-06-13
PROMO12,Storage,,29,2024-04-16,2024-05-03
PROMO13,Decor,,10,2024-10-26,2024-11-14
PROMO14,Kitchen,,15,2025-07-25,2025-08-21
PROMO15,Decor,,29,2025-08-15,2025-09-09
PROMO16,,P046,24,2025-06-20,2025-07-11
PROMO17,,P006,10,2025-10-05,2025-10-23
PROMO18,,P055,21,2025-02-08,2025-03-03
PROMO19,,P006,13,2025-05-20,2025-06-16
PROMO20,,P048,24,2025-03-14,2025-03-30
PROMO21,,P038,17,2024-07-15,2024-07-30
PROMO22,,P032,11,2025-08-24,2025-09-07
PROMO23,,P033,24,2024-05-16,2024-06-12
PROMO24,,P025,27,2025-02-17,2025-03-15
PROMO25,,P026,30,2025-04-30,2025-05-16
