return_id,order_id,product_id,return_date,reason,quantity
R00001,O04985,P050,2024-01-26,Ordered by mistake,1
R00002,O00374,P042,2024-01-23,Ordered by mistake,1
R00003,O02811,P019,2024-01-15,Item damaged in shipping,3
R00004,O05511,P043,2024-01-17,Found a better price elsewhere,1
R00005,O05203,P052,2024-01-27,Item damaged in shipping,1
R00006,O04738,P057,2024-01-16,Found a better price elsewhere,1
R00007,O03695,P026,2024-01-25,Found a better price elsewhere,1
R00008,O02009,P013,2024-02-09,Changed my mind,1
R00009,O05278,P048,2024-02-06,Not as described online,2
R00010,O04187,P060,2024-02-12,Changed my mind,2
R00011,O01551,P049,2024-02-05,Ordered by mistake,3
R00012,O03019,P037,2024-01-28,Wrong size or fit,1
R00013,O00129,P030,2024-02-01,Ordered by mistake,1
R00014,O02313,P054,2024-01-27,Wrong size or fit,2
R00015,O02431,P021,2024-02-20,Item damaged in shipping,4
R00016,O04936,P036,2024-01-29,Wrong size or fit,1
R00017,O01844,P007,2024-02-18,Ordered by mistake,1
R00018,O02271,P044,2024-02-18,Ordered by mistake,1
R00019,O00221,P006,2024-02-15,Found a better price elsewhere,3
R00020,O01777,P029,2024-02-05,Found a better price elsewhere,3
R00021,O03800,P059,2024-02-06,Found a better price elsewhere,1
R00022,O04355,P011,2024-03-04,Changed my mind,1
R00023,O05875,P051,2024-03-04,Changed my mind,5
R00024,O02700,P039,2024-02-24,Found a better price elsewhere,4
R00025,O01126,P044,2024-03-02,Found a better price elsewhere,1
R00026,O05462,P058,2024-02-19,Ordered by mistake,1
R00027,O04195,P048,2024-02-23,Found a better price elsewhere,1
R00028,O03534,P021,2024-03-03,Ordered by mistake,4
R00029,O05058,P010,2024-02-24,Not as described online,4
R00030,O03966,P029,2024-03-05,Wrong size or fit,1
R00031,O04289,P057,2024-03-11,Not as described online,1
R00032,O05614,P011,2024-02-24,Ordered by mistake,2
R00033,O00551,P022,2024-02-19,Wrong size or fit,2
R00034,O01086,P054,2024-02-18,Item damaged in shipping,1
R00035,O04036,P023,2024-03-04,Wrong size or fit,2
R00036,O05420,P058,2024-03-13,Found a better price elsewhere,1
R00037,O04506,P009,2024-03-07,Ordered by mistake,5
R00038,O02860,P050,2024-02-22,Item damaged in shipping,2
R00039,O01908,P005,2024-03-15,Ordered by mistake,1
R00040,O05774,P056,2024-03-04,Changed my mind,3
R00041,O05919,P035,2024-03-03,Wrong size or fit,1
R00042,O02005,P013,2024-03-24,Wrong size or fit,1
R00043,O00180,P044,2024-03-25,Changed my mind,1
R00044,O05191,P053,2024-03-16,Ordered by mistake,1
R00045,O00330,P010,2024-03-12,Item damaged in shipping,4
R00046,O03838,P048,2024-03-17,Item damaged in shipping,3
R00047,O01491,P042,2024-03-28,Changed my mind,1
R00048,O04446,P026,2024-03-17,Changed my mind,1
R00049,O04642,P031,2024-04-06,Ordered by mistake,2
R00050,O03041,P041,2024-03-12,Found a better price elsewhere,1
R00051,O05066,P058,2024-03-30,Item damaged in shipping,2
R00052,O01043,P034,2024-03-24,Wrong size or fit,3
R00053,O03049,P011,2024-04-12,Item damaged in shipping,2
R00054,O05183,P052,2024-03-29,Wrong size or fit,5
R00055,O05289,P020,2024-04-04,Changed my mind,1
R00056,O04040,P004,2024-04-07,Wrong size or fit,1
R00057,O05455,P016,2024-03-28,Found a better price elsewhere,2
R00058,O05162,P028,2024-03-29,Changed my mind,2
R00059,O03062,P018,2024-03-26,Found a better price elsewhere,5
R00060,O03882,P040,2024-04-23,Item damaged in shipping,1
R00061,O01380,P001,2024-04-17,Item damaged in shipping,4
R00062,O04230,P002,2024-04-16,Found a better price elsewhere,3
R00063,O05134,P002,2024-04-19,Changed my mind,4
R00064,O00228,P059,2024-04-08,Not as described online,1
R00065,O01288,P039,2024-04-21,Not as described online,3
R00066,O04897,P042,2024-05-11,Wrong size or fit,1
R00067,O04314,P024,2024-04-17,Item damaged in shipping,3
R00068,O01916,P004,2024-04-20,Item damaged in shipping,4
R00069,O02701,P014,2024-04-23,Found a better price elsewhere,4
R00070,O03852,P055,2024-05-18,Ordered by mistake,2
R00071,O04629,P040,2024-05-07,Ordered by mistake,2
R00072,O00721,P009,2024-05-09,Changed my mind,2
R00073,O02428,P008,2024-05-20,Item damaged in shipping,2
R00074,O03449,P024,2024-05-01,Ordered by mistake,1
R00075,O02464,P005,2024-05-25,Wrong size or fit,1
R00076,O05929,P027,2024-05-01,Wrong size or fit,1
R00077,O02212,P029,2024-05-15,Wrong size or fit,2
